
name: flws, total assets: 301000000, total liabilities: 137000000, market cap: 356147896, undervalued: False, difference: -192147896
name: fcty, total assets: 532000000, total liabilities: 477000000, market cap: 66804502, undervalued: False, difference: -11804502
name: fccy, total assets: 790000000, total liabilities: 723000000, market cap: 65877537, undervalued: True, difference: 1122463
name: srce, total assets: 4649000000, total liabilities: 4071000000, market cap: 779536990, undervalued: False, difference: -201536990
name: fubc, total assets: 1715000000, total liabilities: 1482000000, market cap: 267110071, undervalued: False, difference: -34110071
name: vnet, total assets: 477000000, total liabilities: 177000000, market cap: 1350317485, undervalued: False, difference: -1050317485
name: jobs, total assets: 520000000, total liabilities: 92000000, market cap: 2324540818, undervalued: False, difference: -1896540818
name: eght, total assets: 161000000, total liabilities: 16000000, market cap: 905154573, undervalued: False, difference: -760154573
name: avhi, total assets: 464000000, total liabilities: 180000000, market cap: 393394669, undervalued: False, difference: -109394669
name: shlm, total assets: 1238000000, total liabilities: 730000000, market cap: 1015453664, undervalued: False, difference: -507453664
name: aaon, total assets: 220000000, total liabilities: 58000000, market cap: 1203145530, undervalued: False, difference: -1041145530
name: astm, total assets: 12000000, total liabilities: 7000000, market cap: 14454997, undervalued: False, difference: -9454997
name: abax, total assets: 208000000, total liabilities: 23000000, market cap: 882154310, undervalued: False, difference: -697154310
name: abmd, total assets: 181000000, total liabilities: 30000000, market cap: 1066830671, undervalued: False, difference: -915830671
name: axas, total assets: 257000000, total liabilities: 197000000, market cap: 314808092, undervalued: False, difference: -254808092
name: actg, total assets: 657000000, total liabilities: 60000000, market cap: 713952525, undervalued: False, difference: -116952525
name: achc, total assets: 1162000000, total liabilities: 696000000, market cap: 2391714036, undervalued: False, difference: -1925714036
name: acad, total assets: 199000000, total liabilities: 7000000, market cap: 2298921691, undervalued: False, difference: -2106921691
name: axdx, total assets: 6000000, total liabilities: 1000000, market cap: 576426342, undervalued: False, difference: -571426342
name: accl, total assets: 373000000, total liabilities: 125000000, market cap: 531604990, undervalued: False, difference: -283604990
name: ancx, total assets: 846000000, total liabilities: 750000000, market cap: 161657886, undervalued: False, difference: -65657886
name: aray, total assets: 473000000, total liabilities: 378000000, market cap: 649148242, undervalued: False, difference: -554148242
name: acrx, total assets: 80000000, total liabilities: 27000000, market cap: 450621146, undervalued: False, difference: -397621146
name: acet, total assets: 333000000, total liabilities: 124000000, market cap: 666245680, undervalued: False, difference: -457245680
name: achn, total assets: 176000000, total liabilities: 11000000, market cap: 326763234, undervalued: False, difference: -161763234
name: aciw, total assets: 1601000000, total liabilities: 1124000000, market cap: 2483197676, undervalued: False, difference: -2006197676
name: acnb, total assets: 1034000000, total liabilities: 931000000, market cap: 109256563, undervalued: False, difference: -6256563
name: acor, total assets: 586000000, total liabilities: 160000000, market cap: 1215536587, undervalued: False, difference: -789536587
name: acfn, total assets: 42000000, total liabilities: 15000000, market cap: 86593648, undervalued: False, difference: -59593648
name: acts, total assets: 322000000, total liabilities: 43000000, market cap: 256280000, undervalued: True, difference: 22720000
name: acpw, total assets: 42000000, total liabilities: 18000000, market cap: 65444577, undervalued: False, difference: -41444577
name: atvi, total assets: 16060000000, total liabilities: 3921000000, market cap: 12392608005, undervalued: False, difference: -253608005
